task,model,target,validation_metric,validation_score,params,feature_group
regression,ridge,future_vol_21d,rmse,0.008247022535267705,{'alpha': 1.0},price_climatebert
regression,ridge,future_vol_21d,rmse,0.00823835985211304,{'alpha': 10.0},price_climatebert
regression,ridge,future_vol_21d,rmse,0.008211632132396453,{'alpha': 50.0},price_climatebert
regression,random_forest,future_vol_21d,rmse,0.007164919868067333,"{'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.00680176368113642,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.00674638180040159,"{'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.007118821467668467,"{'max_features': 0.7, 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.0068426394625837,"{'max_features': 0.7, 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.006878078492344503,"{'max_features': 0.7, 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.007583031337735538,"{'max_features': 1.0, 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.006997283503462728,"{'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
regression,random_forest,future_vol_21d,rmse,0.007029274179239966,"{'max_features': 1.0, 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007081957038296663,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007005694570651601,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007138102590288237,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
