evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,price,hist_gradient_boosting,728,,,,,0.7982261640798226,0.7407407407407407,0.8653846153846154,0.8413897612179004,0.912287352071006,457.0,63.0,28.0,180.0,0.9041095890410958
news_weeks,classification,high_vol_21d,price,hist_gradient_boosting,591,,,,,0.817966903073286,0.7554585152838428,0.8917525773195877,0.8615398675186751,0.9163701991742191,341.0,56.0,21.0,173.0,0.9333333333333333
all_weeks,classification,high_vol_21d,price,logistic,728,,,,,0.771551724137931,0.69921875,0.8605769230769231,0.8242153664162473,0.9081915680473372,443.0,77.0,29.0,179.0,0.9041095890410958
news_weeks,classification,high_vol_21d,price,logistic,591,,,,,0.7944572748267898,0.7196652719665272,0.8865979381443299,0.8458781667036742,0.9158638240411332,330.0,67.0,22.0,172.0,0.9
all_weeks,classification,high_vol_21d,price,random_forest,728,,,,,0.789587852494577,0.7193675889328063,0.875,0.8379095169035344,0.908126849112426,449.0,71.0,26.0,182.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price,random_forest,591,,,,,0.813953488372093,0.7415254237288136,0.9020618556701031,0.8586341543860152,0.9127866213093043,336.0,61.0,19.0,175.0,0.95
all_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,728,,,,,0.7713625866050808,0.7422222222222222,0.8028846153846154,0.8478103641831716,0.902755177514793,462.0,58.0,41.0,167.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,591,,,,,0.7920792079207921,0.7619047619047619,0.8247422680412371,0.8694408421787674,0.9088849359889895,347.0,50.0,34.0,160.0,1.0
all_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,728,,,,,0.7769784172661871,0.7751196172248804,0.7788461538461539,0.83620441833174,0.9133783284023668,473.0,47.0,46.0,162.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,591,,,,,0.7948717948717948,0.7908163265306123,0.7989690721649485,0.8585429703338296,0.9185385234620479,356.0,41.0,39.0,155.0,0.9333333333333333
all_weeks,classification,high_vol_21d,price_all_news,logistic,728,,,,,0.7581395348837209,0.7342342342342343,0.7836538461538461,0.7882090479380636,0.8917529585798817,461.0,59.0,45.0,163.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price_all_news,logistic,591,,,,,0.7819548872180451,0.7609756097560976,0.8041237113402062,0.8110462621110579,0.8967254408060454,348.0,49.0,38.0,156.0,0.9333333333333333
all_weeks,classification,high_vol_21d,price_all_news,random_forest,728,,,,,0.7695961995249406,0.7605633802816901,0.7788461538461539,0.8076581247668556,0.9121856508875741,469.0,51.0,46.0,162.0,0.8904109589041096
news_weeks,classification,high_vol_21d,price_all_news,random_forest,591,,,,,0.7908163265306123,0.7828282828282829,0.7989690721649485,0.8373944338961217,0.9154483367524475,354.0,43.0,39.0,155.0,0.9
all_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,728,,,,,0.7661469933184856,0.7136929460580913,0.8269230769230769,0.8179068387098059,0.8973280325443788,451.0,69.0,36.0,172.0,0.9452054794520548
news_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,591,,,,,0.7857142857142857,0.7300884955752213,0.8505154639175257,0.8372566375439033,0.9000558311044171,336.0,61.0,29.0,165.0,0.95
