evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,regression,future_vol_21d,price,hist_gradient_boosting,728,0.007360635052555206,0.005340890735726396,0.35248455288508107,0.7355352969750035,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,hist_gradient_boosting,590,0.007551479493885659,0.005495281623752124,0.3153399067357847,0.7425124675957906,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,random_forest,728,0.007136003252191204,0.004925393135901955,0.3914032330255305,0.76531534196214,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,random_forest,590,0.007333805823380739,0.005010402180828867,0.354242090784332,0.7746473351312827,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,ridge,728,0.007446961172833516,0.0053916555603651575,0.3372072619621441,0.6985618945728987,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,ridge,590,0.007506736738943002,0.005424185660297047,0.323429136491333,0.727093651177843,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,728,0.00896928550437366,0.0061366731427303055,0.03853105969177684,0.7000670558560366,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,590,0.009441070266254332,0.006482729984149027,-0.07017149749372886,0.6734489862899754,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,728,0.008019703065428072,0.006042585228260676,0.2313367117123275,0.7055145849276981,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,590,0.008443753755934534,0.006466156159453906,0.14398369064362782,0.6669000212826655,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,random_forest,728,0.008414990014320568,0.006191653266590416,0.1536952619977573,0.7336114533883142,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,random_forest,590,0.008880619382252531,0.006599184702983007,0.053114570293979035,0.7133130011085391,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,ridge,728,0.009684283589839665,0.007187682010721844,-0.12086822986045487,0.5576633673072615,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,ridge,590,0.010209169214358105,0.0076804828538007755,-0.2513872463319642,0.5488070240684013,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,728,0.00722705896618955,0.005037914338447703,0.37577269928379264,0.7587871603133436,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,590,0.007346083612282826,0.005105517858186359,0.35207810767408687,0.772534813118977,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,728,0.0077083083448547685,0.005654589238710618,0.2898702291888676,0.7290329320743504,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,590,0.008065852468548828,0.005935815257622233,0.21889131197940392,0.7123048133443044,,,,,,,,,,
